Date,SKU,UnitPrice,Quantity,TotalPrice
03-01-2019,Vanilla Double Scoop,80,5,400
03-01-2019,Butterscotch Single Scoop,60,5,300
03-01-2019,Rocky Road Double Scoop,80,2,160
03-01-2019,Cake Fudge,150,5,750
03-01-2019,Vanilla Double Scoop,80,1,80
03-01-2019,Death by Chocolate,180,1,180
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Vanilla Double Scoop,80,5,400
03-01-2019,Cafe Caramel,160,3,480
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Cafe Caramel,160,1,160
03-01-2019,Vanilla Double Scoop,80,1,80
03-01-2019,Vanilla Double Scoop,80,4,320
03-01-2019,Butterscotch Single Scoop,60,5,300
03-01-2019,Vanilla Single Scoop,50,4,200
03-01-2019,Rocky Road Double Scoop,80,4,320
03-01-2019,Cafe Caramel,160,5,800
03-01-2019,Cake Fudge,150,5,750
03-01-2019,Vanilla Double Scoop,80,1,80
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Vanilla Single Scoop,50,1,50
03-01-2019,Death by Chocolate,180,2,360
03-01-2019,Caramel Crunch Double Scoop,100,2,200
03-01-2019,Butterscotch Single Scoop,60,5,300
03-01-2019,Cafe Caramel,160,1,160
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Butterscotch Single Scoop,60,4,240
03-01-2019,Vanilla Double Scoop,80,1,80
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Vanilla Single Scoop,50,5,250
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Butterscotch Single Scoop,60,1,60
03-01-2019,Death by Chocolate,180,4,720
03-01-2019,Vanilla Single Scoop,50,4,200
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Cake Fudge,150,1,150
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Death by Chocolate,180,1,180
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Vanilla Single Scoop,50,4,200
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Death by Chocolate,180,5,900
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Butterscotch Single Scoop,60,5,300
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Butterscotch Single Scoop,60,4,240
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Pista Single Scoop,60,2,120
03-01-2019,Rocky Road Double Scoop,80,4,320
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Fig and Honey Double Scoop,90,3,270
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Cafe Caramel,160,5,800
03-01-2019,Dry Fruit Single Scoop,60,2,120
03-01-2019,Vanilla Single Scoop,50,2,100
03-01-2019,Death by Chocolate,180,1,180
03-01-2019,Vanilla Double Scoop,80,4,320
03-01-2019,Vanilla Single Scoop,50,5,250
03-01-2019,Vanilla Single Scoop,50,4,200
03-01-2019,Butterscotch Single Scoop,60,3,180
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Vanilla Double Scoop,80,4,320
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Vanilla Single Scoop,50,2,100
03-01-2019,Cake Fudge,150,4,600
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Dew Drop Sundae,150,2,300
03-01-2019,Hot Chocolate Fudge,120,1,120
03-01-2019,Vanilla Single Scoop,50,3,150
03-01-2019,Chocolate Europa Double Scoop,100,4,400
03-01-2019,Butterscotch Single Scoop,60,1,60
03-01-2019,Butterscotch Single Scoop,60,3,180
03-01-2019,Hot Chocolate Fudge,120,2,240
03-01-2019,Pista Double Scoop,90,3,270
03-01-2019,Vanilla Double Scoop,80,1,80
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Hot Chocolate Fudge,120,3,360
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Hot Chocolate Fudge,120,1,120
03-01-2019,Butterscotch Single Scoop,60,5,300
03-01-2019,Vanilla Double Scoop,80,2,160
03-01-2019,Pista Double Scoop,90,1,90
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Butterscotch Single Scoop,60,4,240
03-01-2019,Death by Chocolate,180,5,900
03-01-2019,Butterscotch Single Scoop,60,3,180
04-01-2019,Rocky Road Single Scoop,50,5,250
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Vanilla Double Scoop,80,4,320
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Rocky Road Double Scoop,80,1,80
04-01-2019,Death by Chocolate,180,4,720
04-01-2019,Vanilla Double Scoop,80,4,320
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Cake Fudge,150,5,750
04-01-2019,Caramel Crunch Single Scoop,70,5,350
04-01-2019,Death by Chocolate,180,2,360
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Cake Fudge,150,5,750
04-01-2019,Butterscotch Single Scoop,60,2,120
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Pista Double Scoop,90,2,180
04-01-2019,Vanilla Double Scoop,80,2,160
04-01-2019,Dry Fruit Double Scoop,90,5,450
04-01-2019,Almond Fudge,150,3,450
04-01-2019,Butterscotch Single Scoop,60,1,60
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Dry Fruit Double Scoop,90,1,90
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Death by Chocolate,180,5,900
04-01-2019,Cake Fudge,150,1,150
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Vanilla Double Scoop,80,1,80
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Pista Single Scoop,60,3,180
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Trilogy,160,5,800
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Dry Fruit Single Scoop,60,1,60
04-01-2019,Fig and Honey Double Scoop,90,5,450
04-01-2019,Dew Drop Sundae,150,2,300
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Vanilla Double Scoop,80,1,80
04-01-2019,Cafe Caramel,160,1,160
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Butterscotch Single Scoop,60,4,240
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Butterscotch Single Scoop,60,5,300
04-01-2019,Cafe Caramel,160,3,480
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Vanilla Double Scoop,80,2,160
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Butterscotch Single Scoop,60,3,180
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Chocolate Europa Single Scoop,70,5,350
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Mint Fudge,120,1,120
04-01-2019,Death by Chocolate,180,4,720
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Chocolate Europa Single Scoop,70,5,350
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Death by Chocolate,180,2,360
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Vanilla Single Scoop,50,1,50
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Butterscotch Single Scoop,60,5,300
04-01-2019,Vanilla Single Scoop,50,1,50
04-01-2019,Vanilla Double Scoop,80,1,80
04-01-2019,Vanilla Double Scoop,80,2,160
04-01-2019,Pista Double Scoop,90,1,90
04-01-2019,Death by Chocolate,180,1,180
04-01-2019,Vanilla Single Scoop,50,5,250
04-01-2019,Cafe Caramel,160,5,800
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Vanilla Single Scoop,50,2,100
04-01-2019,Butterscotch Single Scoop,60,4,240
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Cake Fudge,150,3,450
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Vanilla Single Scoop,50,2,100
04-01-2019,Vanilla Single Scoop,50,5,250
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Vanilla Double Scoop,80,2,160
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Cafe Caramel,160,3,480
04-01-2019,Death by Chocolate,180,5,900
04-01-2019,Fig and Honey Double Scoop,90,2,180
04-01-2019,Death by Chocolate,180,1,180
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Butterscotch Single Scoop,60,5,300
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Mint Fudge,120,1,120
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Cafe Caramel,160,4,640
04-01-2019,Dew Drop Sundae,150,1,150
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Caramel Crunch Double Scoop,100,5,500
04-01-2019,Butterscotch Single Scoop,60,5,300
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Vanilla Single Scoop,50,1,50
04-01-2019,Vanilla Double Scoop,80,5,400
04-01-2019,Hot Chocolate Fudge,120,2,240
04-01-2019,Death by Chocolate,180,5,900
04-01-2019,Butterscotch Single Scoop,60,4,240
04-01-2019,Cake Fudge,150,1,150
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Cake Fudge,150,1,150
04-01-2019,Cake Fudge,150,5,750
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Dry Fruit Single Scoop,60,4,240
04-01-2019,Fig and Honey Single Scoop,60,3,180
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Vanilla Single Scoop,50,4,200
04-01-2019,Pista Double Scoop,90,3,270
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Butterscotch Single Scoop,60,4,240
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Chocolate Europa Double Scoop,100,5,500
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Death by Chocolate,180,5,900
04-01-2019,Hot Chocolate Fudge,120,1,120
04-01-2019,Caramel Crunch Double Scoop,100,1,100
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Butterscotch Single Scoop,60,4,240
04-01-2019,Cake Fudge,150,1,150
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Butterscotch Single Scoop,60,2,120
04-01-2019,Death by Chocolate,180,1,180
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Butterscotch Double Scoop,90,5,450
04-01-2019,Cafe Caramel,160,5,800
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Butterscotch Single Scoop,60,5,300
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Butterscotch Single Scoop,60,2,120
04-01-2019,Death by Chocolate,180,1,180
04-01-2019,Dry Fruit Double Scoop,90,3,270
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Vanilla Single Scoop,50,2,100
04-01-2019,Vanilla Double Scoop,80,1,80
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Vanilla Double Scoop,80,3,240
04-01-2019,Cafe Caramel,160,5,800
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Hot Chocolate Fudge,120,3,360
04-01-2019,Cake Fudge,150,2,300
04-01-2019,Hot Chocolate Fudge,120,4,480
04-01-2019,Cake Fudge,150,3,450
04-01-2019,Cake Fudge,150,1,150
04-01-2019,Cafe Caramel,160,1,160
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Cake Fudge,150,5,750
04-01-2019,Cake Fudge,150,4,600
04-01-2019,Hot Chocolate Fudge,120,5,600
04-01-2019,Hot Chocolate Fudge,120,2,240
05-01-2019,Death by Chocolate,180,2,360
05-01-2019,Vanilla Double Scoop,80,3,240
05-01-2019,Butterscotch Single Scoop,60,4,240
05-01-2019,Hot Chocolate Fudge,120,1,120
05-01-2019,Vanilla Single Scoop,50,3,150
05-01-2019,Almond Fudge,150,5,750
05-01-2019,Vanilla Double Scoop,80,2,160
05-01-2019,Vanilla Single Scoop,50,2,100
05-01-2019,Vanilla Double Scoop,80,2,160
05-01-2019,Mint Fudge,120,4,480
05-01-2019,Hot Chocolate Fudge,120,2,240
05-01-2019,Cake Fudge,150,4,600
05-01-2019,Vanilla Single Scoop,50,2,100
